Nombre de la Entidad|Municipio Entidad|Departamento Entidad
SANTANDER  INSTITUTO PARA EL FOMENTO DEL DEPORTE Y LA RECREACIÓN DE BARRANCABERMEJA|Barrancabermeja|Santander
NARIÑO  ESE IPS MUNICIPAL DE IPIALES|Ipiales|Nariño
BOYACÁ  PERSONERÍA MUNICIPAL DE SOCHA|Socha|Boyacá
MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE MINAMBIENTE|Bogotá D.C.|Bogotá D.C.
SUCRE  ALCALDÍA MUNICIPIO DE CAIMITO|Caimito|Sucre
NARIÑO  ESE HOSPITAL LORENCITA VILLEGAS DE SANTOS  SAMANIEGO|Samaniego|Nariño
ANTIOQUIA  EMPRESA DE TRANSPORTE MASIVO DEL VALLE DE ABURRÁ LTDA|Medellín|Antioquia
BOYACÁ  INSTITUCIÓN EDUCATIVA ENRIQUE SUÁREZ  ALMEIDA|Almeida|Boyacá
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE CHINACOTA|Chinácota|Norte De Santander
CÓRDOBA  ALCALDÍA MUNICIPIO DE MONTERÍA|Montería|Córdoba
INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS INVIMA|Bogotá D.C.|Bogotá D.C.
ATLÁNTICO  ESE HOSPITAL DE BARANOA  BARANOA|Baranoa|Atlántico
CARSUCRE  CORPORACIÓN AUTÓNOMA REGIONAL DE SUCRE|Sincelejo|Sucre
MAGDALENA  ALCALDÍA MUNICIPIO DE CERRO SAN ANTONIO|Cerro San Antonio|Magdalena
SUCRE  INSTITUCIÓN EDUCATIVA SIMÓN BOLÍVAR DE OREJERO  SUCRE|Sucre|Sucre
CASANARE  INSTITUTO PARA EL DEPORTE Y LA RECREACIÓN DE YOPAL|Yopal|Casanare
ATLÁNTICO  ALCALDÍA MUNICIPIO DE SABANALARGA|Sabanalarga|Atlántico
ANTIOQUIA  HOSPITAL SAN RAFAEL  ANGOSTURA|Angostura|Antioquia
TOLIMA  ALCALDÍA MUNICIPIO DE ARMERO  GUAYABAL|Guayabal|Tolima
NARIÑO  INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR LA INMACULADA  BARBACOAS|Barbacoas|Nariño
BOYACÁ  ALCALDÍA MUNICIPIO DE FLORESTA|Floresta|Boyacá
SANTANDER  CONCEJO MUNICIPIO DE BARRANCABERMEJA|Barrancabermeja|Santander
NARIÑO  INSTITUCIÓN EDUCATIVA MUNICIPAL INEM LUIS DELFIN INSUASTY RODRIGUEZ  PASTO|Pasto|Nariño
NARIÑO  INSTITUCION EDUCATIVA AGROPECUARIA SAN MARTIN DE PORRES  SAMANIEGO|Samaniego|Nariño
CALDAS  INSTITUCIÓN EDUCATIVA NARANJAL  CHINCHINA|Chinchiná|Caldas
NARIÑO  CENTRO DE DIAGNÓSTICO AUTOMOTOR DE NARIÑO LTDA|Pasto|Nariño
HUILA  EMPRESAS PÚBLICAS DE YAGUARÁ SA ESP|Yaguará|Huila
RISARALDA  ESE HOSPITAL SANTA ANA  GUÁTICA|Guática|Risaralda
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICA OCCIDENTE  TULUÁ|Tuluá|Valle del Cauca
HUILA  INSTITUCIÓN EDUCATIVA OBANDO  SAN AGUSTÍN|San Agustín|Huila
NARIÑO  EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE PUERRES ESERP ESP|Puerres|Nariño
CAUCA  INSTITUTO MUNICIPAL DE RECREACIÓN Y EL DEPORTE APROVECHAMIENTO DEL TIEMPO LIBRE Y ACTIVIDADES EXTRA ESCOLARES  PIENDAMÓ|Piendamó|Cauca
LA GUAJIRA  INSTITUCIÓN EDUCATIVA ERNESTO PARODI MEDINA  FONSECA|Fonseca|La Guajira
RISARALDA  PLANTA DE TRATAMIENTO VILLASANTANA SOCIEDAD LIMITADA  PEREIRA|Pereira|Risaralda
CESAR  INSTITUCION EDUCATIVA INSTITUTO AGRICOLA  PUEBLO BELLO|Pueblo Bello|Cesar
SANTANDER  EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS DE VÉLEZ EMPREVEL ESP|Vélez|Santander
LA GUAJIRA  ESE HOSPITAL NUESTRA DE PILAR  BARRANCAS|Barrancas|La Guajira
NARIÑO  ESE HOSPITAL SAN CARLOS|San Pablo|Nariño
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE YUMBO|Yumbo|Valle del Cauca
SANTANDER  CAMARA DE COMERCIO DE BUCARAMANGA|Bucaramanga|Santander
BOYACÁ  ESE CENTRO DE SALUD SAN MIGUEL  SAN MIGUEL DE SEMA|San Miguel de Sema|Boyacá
SANTANDER  INSTITUTO DE CULTURA Y TURISMO DE BUCARAMANGA|Bucaramanga|Santander
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE CULTURA Y TURISMO DE TORO|Toro|Valle del Cauca
BOYACÁ  ALCALDÍA MUNICIPIO DE TOTA|Tota|Boyacá
CÓRDOBA  INSTITUCIÓN EDUCATIVA GUASIMAL MONTERÍA|Montería|Córdoba
TOLIMA  ALCALDÍA MUNICIPIO DE AMBALEMA|Ambalema|Tolima
SUCRE  ESE CENTRO DE SALUD SAN JOSÉ I NIVEL  SAN MARCOS|San Marcos|Sucre
ANTIOQUIA  EMPRESA DE DESARROLLO COMPETITIVIDAD Y PRODUCTIVIDAD DE GUARNE  EMEGA|Guarne|Antioquia
ARAUCA  INSTITUCIÓN EDUCATIVA PARMENIO BONILLA PAREDES|Tame|Arauca
BOGOTÁ DC  IED CONFEDERACION BRISAS DEL DIAMANTE|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL DIEZ DE MAYO  CALI|Cali|Valle del Cauca
CESAR  HOSPITAL JOSÉ DAVID PADILLA VILLAFAÑE|Valledupar|Cesar
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA AMBIENTAL  IBAGUÉ|Ibagué|Tolima
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA DE SANTA LIBRADA  CALI|Cali|Valle del Cauca
ANTIOQUIA  EMPRESA DE SERVICIOS PÚBLICOS DE ANDES SA ESP|Andes|Antioquia
BOGOTÁ DC  IED TÉCNICO INTERNACIONAL|Bogotá D.C.|Bogotá D.C.
RISARALDA  CONTRALORÍA MUNICIPAL DE PEREIRA|Pereira|Risaralda
ANTIOQUIA  IE JOAQUIN VALLEJO ARBELÁEZ  MEDELLÍN|Medellín|Antioquia
BOGOTÁ DC  IED REPUBLICA DE MEXICO|Bogotá D.C.|Bogotá D.C.
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA FE Y ALEGRÍA  IBAGUÉ|Ibagué|Tolima
ANTIOQUIA  AGUAS Y ASEO DE EL PEÑOL ESP  EL PEÑOL|El Peñol|Antioquia
BOLÍVAR  ALCALDÍA MUNICIPIO DE SAN FERNANDO|San Fernando|Bolívar
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA INDALECIO PENILLA|Cartago|Valle del Cauca
ANTIOQUIA  LA PROVINCIA ADMINISTRATIVA Y DE PLANIFICACIÓN  PAP DE LA PAZ EN EL DEPARTAMENTO DE ANTIOQUIA|Sonsón|Antioquia
CUNDINAMARCA  EMPRESA DE SERVICIOS PÚBLICOS DE FUSAGASUGÁ|Fusagasugá|Cundinamarca
MAGDALENA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL ALGARROBO|Algarrobo|Magdalena
CALDAS  EMPRESA MUNICIPAL PARA LA SALUD|Manizales|Caldas
BOYACÁ  INSTITUCION EDUCATIVA JORGE ELIECER GAITAN  MARIPI|Maripí|Boyacá
VALLE DEL CAUCA  ESE HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCÍA|Cali|Valle del Cauca
BOGOTÁ  SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE ESE|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SOPETRÁN|Sopetrán|Antioquia
CUNDINAMARCA   ESE HOSPITAL SAN VICENTE DE PAUL  SAN JUAN DE RIOSECO|San Juan de Río Seco|Cundinamarca
SUCRE  ALCALDÍA MUNICIPIO DE COVEÑAS|Coveñas|Sucre
CAUCA  ALCALDÍA MUNICIPIO DE PÁEZ|Paez/Belalcazar|Cauca
CORNARE  CORPORACIÓN AUTÓNOMA REGIONAL DE LAS CUENCAS DE RÍOS NEGRO Y NARE|Medellín|Antioquia
ANTIOQUIA  CENTRO EDUCATIVO MEDIA LUNA  MEDELLÍN|Medellín|Antioquia
TOLIMA  INSTITUCIÓN EDUCATIVA DINDALITO CENTRO  ESPINAL|El Espinal|Tolima
BOGOTÁ DC  IED TENERIFE GRANADA SUR|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL PUEBLO NUEVO  NILO|Nilo|Cundinamarca
BOLIVAR  ESE HOPITAL LOCAL DE SANTA CATALINA DE ALEJANDRIA  SANTA CATALINA|Santa Catalina|Bolívar
SANTANDER  UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS  BUCARAMANGA|Bucaramanga|Santander
CUNDINAMARCA  INSTITUTO DE DESARROLLO URBANO VIVIENDA Y GESTIÓN TERRITORIAL DE CHÍA IDUVI|Chía|Cundinamarca
CALDAS  ESE HOSPITAL SAN CAYETANO DE MARQUETALIA|Marquetalia|Caldas
TOLIMA  ALCALDÍA MUNICIPIO DE HONDA|Honda|Tolima
TOLIMA  INSTITUCIÓN EDUCATIVA LICEO NACIONAL|Ibagué|Tolima
NARIÑO  INSTITUCIÓN EDUCATIVA CARLOS ALBORNOZ ROSAS|Ancuyá|Nariño
BOGOTÁ DC  IED COLEGIO NUEVO SAN ANDRES DE LOS ALTOS|Bogotá D.C.|Bogotá D.C.
SUCRE  INSTITUCIÓN EDUCATIVA SANTIAGO APÓSTOL  SAN BENITO|San Benito Abad|Sucre
ANTIOQUIA  IE FONTIDUEÑO JAIME ARANGO ROJAS  BELLO|Bello|Antioquia
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL  ZIPACÓN|Zipacón|Cundinamarca
NORTE DE SANTANDER  INSTITUTO MUNICIPAL DEL DEPORTE DEPORTIBU|Tibú|Norte De Santander
BOYACÁ  INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE LA PAZ  QUÍPAMA|Quípama|Boyacá
NARIÑO  INSTITUCIÓN EDUCATIVA LOS ANDES DE CUAICAL  CUMBAL|Cumbal|Nariño
CESAR  INSTITUCIÓN EDUCATIVA VIRGEN DEL CARMEN  VALLEDUPAR|Valledupar|Cesar
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA JOSÉ MARÍA CÓRDOBA  YUMBO|Yumbo|Valle del Cauca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL SAN JOSÉ  CARMEN DE CARUPA|Carmen de Carupa|Cundinamarca
MINISTERIO DE DEFENSA NACIONAL MINDEFENSA|Bogotá D.C.|Bogotá D.C.
META  ALCALDÍA MUNICIPIO DE PUERTO CONCORDIA|Puerto Concordia|Meta
BOYACÁ  ALCALDÍA MUNICIPIO DE SAN LUIS DE GACENO|San Luis de Gaceno|Boyacá
VALLE DEL CAUCA  HOSPITAL SIQUIÁTRICO UNIVERSITARIO SAN ISIDRO|Cali|Valle del Cauca
CAUCA  ACUEDUCTO Y ALCANTARILLA DE POPAYÁN SA ESP|Popayán|Cauca
BOYACÁ  ESE HOSPITAL SAGRADO CORAZÓN DE JESÚS DE SOCHA|Socha|Boyacá
HUILA  ESE SAN SEBASTIÁN|La Plata|Huila
MAGDALENA  ALCALDÍA MUNICIPIO DE SANTA BÁRBARA DE PINTO|Santa Bárbara de Pinto|Magdalena
SANTANDER  CONCEJO MUNICIPIO DE BUCARAMANGA|Bucaramanga|Santander
BOGOTÁ DC  IED SIMON BOLÍVAR ENGATIVA|Bogotá D.C.|Bogotá D.C.
TOLIMA  INSTITUTO DE FINANCIAMIENTO PROMOCIÓN Y DESARROLLO DE IBAGUÉ  INFIBAGUÉ|Ibagué|Tolima
BOGOTÁ DC  IED ISABEL II|Bogotá D.C.|Bogotá D.C.
BOYACÁ  INSTITUTO DE TRÁNSITO DE BOYACÁ|Tunja|Boyacá
CALDAS  ALCALDÍA MUNICIPIO DE VICTORIA|Victoria|Caldas
SANTANDER  ALCALDÍA MUNICIPIO DE HATO|Hato|Santander
ANTIOQUIA  ESE HOSPITAL LA INMACULADA DE GUATAPÉ|Guatapé|Antioquia
SANTANDER  ESE HOSPITAL SAN RAFAEL DE MATANZA|Matanza|Santander
BOLÍVAR  ALCALDÍA MUNICIPIO DE SIMITÍ|Simití|Bolívar
CASANARE  EMPRESA DE SERVICIOS PÚBLICOS DE AGUAZUL ESPA SA ESP|Aguazul|Casanare
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE GRAMALOTE|Gramalote|Norte De Santander
RISARALDA  INSTITUCIÓN EDUCATIVA MARÍA AUXILIADORA  DOSQUEBRADAS|Dosquebradas|Risaralda
CASANARE  INSTITUCIÓN EDUCATIVA JOSE ANTONIO GALAN  CHÁMEZA|Chameza|Casanare
ANTIOQUIA  PERSONERÍA MUNICIPIO DE ANGELÓPOLIS|Angelópolis|Antioquia
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA COMERCIAL SANTA RITA  FACATATIVÁ|Facatativá|Cundinamarca
HUILA  INSTITUCIÓN EDUCATIVA ALTO DEL OBISPO  SAN AGUSTIN|San Agustín|Huila
CALDAS  INSTITUCION EDUCATIVA ROBERTO PELAEZ|Aguadas|Caldas
NORTE DE SANTANDER  CONCEJO MUNICIPIO DE CÚCUTA|San José de Cúcuta|Norte De Santander
CENTRAL ADMINISTRATIVA Y CONTABLE TUNJA EJERCITO NACIONAL|Tunja|Boyacá
CUNDINAMARCA  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN  UBALA|Ubalá|Cundinamarca
CALDAS  PERSONERÍA MUNICIPIO DE LA DORADA|La Dorada|Caldas
ANTIOQUIA  EMPRESA AUTÓNOMA DEL MUNICIPIO DE GUATAPÉ|Guatapé|Antioquia
BOLÍVAR  PERSONERIA MUNICIPIO DE SAN JACINTO DEL CAUCA|San Jacinto del Cauca|Bolívar
CUNDINAMARCA  PERSONERÍA MUNICIPIO DE TIBACUY|Tibacuy|Cundinamarca
CUNDINAMARCA  IED URIEL MURCIA  YACOPÍ|Yacopí|Cundinamarca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA SAGRADO CORAZÓN DE JESÚS  CAICEDONIA|Caicedonia|Valle del Cauca
MAGDALENA  SANTA MARTA SEGURA|Santa Marta|Magdalena
SANTANDER  CONCEJO MUNICIPIO DE CHIMA|Chima|Santander
BOGOTÁ DC  ESE HOSPITAL TUNJUELITO II NIVEL|Bogotá D.C.|Bogotá D.C.
CAS  CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER|Bucaramanga|Santander
TOLIMA  ALCALDÍA MUNICIPIO DE ALVARADO|Alvarado|Tolima
LA GUAJIRA  INSTITUCIÓN EDUCATIVA AGROPECUARIA DE URUMITA|Urumita|La Guajira
CUNDINAMARCA PERSONERÍA MUNICIPAL DE TABIO|Tabio|Cundinamarca
CASANARE  EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE TAURAMENA|Tauramena|Casanare
HUILA  INSTITUCION EDUCATIVA SAN VICENTE  ISNOS|Isnos|Huila
SANTANDER  ESE HOSPITAL REGIONAL MANUELA BELTRÁN|Socorro|Santander
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE SUTATAUSA|Sutatausa|Cundinamarca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA GENERAL SANTANDER  SOACHA|Soacha|Cundinamarca
ANTIOQUIA  ESE HOSPITAL SAN RAFAEL DE VENECIA|Venecia|Antioquia
BOYACÁ  ALCALDÍA MUNICIPIO DE COPER|Coper|Boyacá
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE CULTURA DE YUMBO|Yumbo|Valle del Cauca
AGENCIA NACIONAL DE HIDROCARBUROS ANH|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  EMPRESA SOCIAL DEL ESTADO DEL ORDEN DEPARTAMENTAL HOSPITAL NUESTRA SEÑORA DE LAS MERCEDES DEL MUNICIPIO DE FUNZA|Funza|Cundinamarca
CESAR  EMPRESA DE SERVICIOS PÚBLICOS DE VALLEDUPAR  EMDUPAR SA ESP|Valledupar|Cesar
META  ESE HOSPITAL LOCAL DE SAN CARLOS DE GUAROA|San Carlos de Guaroa|Meta
ANTIOQUIA  INSTITUCIÓN EDUCATIVA LA MILAGROSA  MEDELLÍN|Medellín|Antioquia
ARAUCA  ALCALDÍA MUNICIPIO DE ARAUQUITA|Arauquita|Arauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ELEAZAR LIBREROS SALAMANCA  ANDALUCÍA|Andalucía|Valle del Cauca
MAGDALENA  ALCALDÍA MUNICIPIO DE PIVIJAY|Pivijay|Magdalena
TOLIMA  ALCALDÍA MUNICIPIO DE MURILLO|Murillo|Tolima
SANTANDER  ALCALDÍA MUNICIPIO DE CURITI|Curití|Santander
TOLIMA  INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DEL ROSARIO  CHAPARRAL|Chaparral|Tolima
TOLIMA  INSTITUCIÓN EDUCATIVA FRANCISCO DE PAULA SANTANDER  IBAGUÉ|Ibagué|Tolima
HUILA  INSTITUCIÓN EDUCATIVA PROMOCIÓN SOCIAL  PALERMO|Palermo|Huila
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ALFREDO POSADA CORREA|Pradera|Valle del Cauca
CALDAS  INSTITUCIÓN EDUCATIVA MARCO FIDEL SUAREZ  RIOSUCIO|Riosucio|Caldas
CÓRDOBA  INSTITUCIÓN EDUCATIVA SAN JOSÉ DE JARAQUIEL  MONTERÍA|Montería|Córdoba
BOYACÁ  ESE CENTRO DE SALUD SAN RAFAEL  RONDÓN|Rondón|Boyacá
ANTIOQUIA  INSTITUTO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE COPACABANA  INVICOP|Copacabana|Antioquia
VICHADA  INSTITUCIÓN EDUCATIVA CAMILO TORRES  SANTA ROSALIA|Santa Rosalía|Vichada
BOGOTÁ DC  IED CIUDAD DE MONTREAL|Bogotá D.C.|Bogotá D.C.
CAUCA  INSTITUTO MUNICIPAL DE RECREACIÓN DEPORTE APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACIÓN EXTRAESCOLAR  TOTORÓ|Totoró|Cauca
BOGOTÁ  IED NELSON MANDELA|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACIÓN IMDERCAN  CANDELARIA|Candelaria|Valle del Cauca
BOGOTÁ DC  IDIPRON|Bogotá D.C.|Bogotá D.C.
META  INSTITUTO DE TURISMO DEL META|Villavicencio|Meta
ANTIOQUIA  METROPLUS SA  MEDELLÍN|Medellín|Antioquia
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE ANDALUCÍA|Andalucía|Valle del Cauca
NARIÑO  ALCALDÍA MUNICIPIO DE CUMBITARA|Cumbitara|Nariño
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE LOURDES|Lourdes|Norte De Santander
ATLÁNTICO  DIRECCIÓN DISTRITAL DE LIQUIDACIONES|Barranquilla|Atlántico
CESAR  HOSPITAL LOCAL ÁLVARO RAMÍREZ GONZÁLEZ  SAN MARTÍN|San Martín|Cesar
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE CULTURA Y TURISMO DE PRADERA|Pradera|Valle del Cauca
VALLE DEL CAUCA  ESE HOSPITAL SAN ROQUE|Pradera|Valle del Cauca
RISARALDA  INSTITUCIÓN EDUCATIVA JUAN HURTADO  BELÉN DE UMBRÍA|Belén de Umbría|Risaralda
ANTIOQUIA  EMPRESA PRESTADORA DEL SERVICIO PÚBLICO DE ASEO  CIUDAD BOLÍVAR|Ciudad Bolívar|Antioquia
BOGOTÁ DC  IED LEÓN DE GREIFF|Bogotá D.C.|Bogotá D.C.
TOLIMA  INSTITUCIÓN EDUCATIVA CARLOS LLERAS RESTREPO COELLO|Coello|Tolima
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA CARLOS HOLGUIN LLOREDA  CALI|Cali|Valle del Cauca
MAGDALENA  INSTITUTO MUNICIPAL DE RECREACIÓN Y DEPORTE  SITIONUEVO|Sitionuevo|Magdalena
ANTIOQUIA  CENTRO EDUCATIVO EL SALADO  MEDELLÍN|Medellín|Antioquia
CAUCA  INSTITUCIÓN EDUCATIVA JOSÉ EUSEBIO CARO  POPAYÁN|Popayán|Cauca
RISARALDA  INSTITUCIÓN EDUCATIVA TÉCNICO AGROPECUARIO TAPARCAL  BELÉN DE UMBRÍA|Belén de Umbría|Risaralda
META  INSTITUCIÓN EDUCATIVA COLEGIO GUATIQUÍA  VILLAVICENCIO|Villavicencio|Meta
ANTIOQUIA  INSTITUCIÓN EDUCATIVA FÁTIMA NUTIBARA  MEDELLÍN|Medellín|Antioquia
HUILA  ALCALDÍA MUNICIPIO DE TIMANÁ|Timaná|Huila
CAUCA  EMPRESA SOCIAL DEL ESTADO NORTE 2  CALOTO|Caloto|Cauca
ANTIOQUIA  ALCALDÍA MUNICIPIO DE EL PEÑOL|El Peñol|Antioquia
INSTITUTO TOLIMENSE DE FORMACIÓN TÉCNICA PROFESIONAL ITFIP|El Espinal|Tolima
ARAUCA  UNIDAD ADMINISTRATIVA ESPECIAL DE SALUD DE ARAUCA|Arauca|Arauca
HUILA  ALCALDÍA MUNICIPIO DE TELLO|Tello|Huila
HUILA  ALCALDÍA MUNICIPIO DE HOBO|Hobo|Huila
CAUCA  APC DEL ACUEDUCTO PIENDAMÓ MORALES ORGANIZACIÓN AUTORIZADA|Piendamó|Cauca
INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DE SAN JUAN DEL CESAR INFOTEP CESAR|San Juan del Cesar|La Guajira
CALDAS  INSTITUCION EDUCATIVA RURAL RAFAEL POMBO  VEREDA LA GARRUCHA MANIZALES|Manizales|Caldas
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA CIUDADELA SUCRE  SOACHA|Soacha|Cundinamarca
LA GUAJIRA  EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE MANAURE ESP|Manaure|La Guajira
BOYACÁ  ALCALDÍA MUNICIPIO DE RAMIRIQUÍ|Ramiriquí|Boyacá
BOYACÁ  CONCEJO MUNICIPIO DE TIBASOSA|Tibasosa|Boyacá
ATLÁNTICO  ALCALDÍA MUNICIPIO DE PONEDERA|Ponedera|Atlántico
VALLE DEL CAUCA   ESE HOSPITAL PILOTO JAMUNDI|Jamundi|Valle del Cauca
NORTE DE SANTANDER  INSTITUCIÓN EDUCATIVA COLEGIO BUENOS AIRES  CUCUTA|San José de Cúcuta|Norte De Santander
SANTANDER  HOSPITAL SANATORIO DE CONTRATACIÓN|Contratación|Santander
LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA  AGROSAVIA|Bogotá D.C.|Bogotá D.C.
CESAR  PERSONERÍA MUNICIPIO DE PAILIATAS|Agustín Codazzi|Cesar
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA HAROLD EDER|Palmira|Valle del Cauca
VALLE DEL CAUCA  ALCALDÍA LOCAL ISLA DEL CASCAJAL|Buenaventura|Valle del Cauca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA FAGUA  CHÍA|Chía|Cundinamarca
CUNDINAMARCA  PERSONERÍA MUNICIPIO DE CUCUNUBA|Cucunubá|Cundinamarca
SANTANDER  EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE ACUEDUCTO ALCANTARILLADO Y SANEAMIENTO BÁSICO ESPUSATO ESP|Bucaramanga|Santander
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL RURAL SAN JORGE  ZIPAQUIRÁ|Zipaquirá|Cundinamarca
BOGOTÁ DC  IED COLEGIO TOMAS CIPRIANO DE MOSQUERA|Bogotá D.C.|Bogotá D.C.
SUCRE  INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR DE SINCELEJO|Sincelejo|Sucre
RISARALDA  GOBERNACIÓN|Pereira|Risaralda
HUILA  ESE MARÍA AUXILIADORA  GARZÓN|Garzón|Huila
RISARALDA  ESE HOSPITAL SAN VICENTE DE PAUL  SANTA ROSA DE CABAL|Santa Rosa de Cabal|Risaralda
SANTANDER  ALCALDÍA MUNICIPIO DE BARBOSA|Barbosa|Santander
CALDAS  COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS|Pensilvania|Caldas
ATLÁNTICO  GOBERNACIÓN|Barranquilla|Atlántico
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PUERTO BERRÍO|Puerto Berrío|Antioquia
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE BOCHALEMA|Bochalema|Norte De Santander
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL CAPELLANÍA  CAJICÁ|Cajicá|Cundinamarca
CAPRECOM  CAJA DE PREVISIÓN SOCIAL DE COMUNICACIONES|Bogotá D.C.|Bogotá D.C.
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA EMPRESARIAL MIGUEL DE CERVANTES SAAVEDRA|Ibagué|Tolima
CUNDINAMARCA  CONCEJO MUNICIPIO DE COTA|Cota|Cundinamarca
INSTITUTO NACIONAL DE CANCEROLOGÍA|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA LA INMACULAD  VERSALLES|Versalles|Valle del Cauca
CASANARE  INSTITUCIÓN EDUCATIVA RURAL EL ALGARROBO  OROCUÉ|Orocué|Casanare
QUINDÍO  INSTITUCIÓN EDUCATIVA ZULDEMAYDA  ARMENIA|Armenia|Quindío
TOLIMA  INSTITUCIÓN EDUCATIVA PATIO BONITO  ESPINAL|El Espinal|Tolima
INSTITUTO DE EVALUACIÓN TECNOLÓGICA EN SALUD IETS|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA MONSEÑOR RAMON ARCILA  CALI|Cali|Valle del Cauca
CÓRDOBA  INSTITUCIÓN EDUCATIVA GENERAL SANTANDER  MONTERÍA|Montería|Córdoba
HUILA  INSTITUCION EDUCATIVA MISAEL PASTRANA BORRERO  LA PLATA|La Plata|Huila
BOYACÁ  INSTITUCIÓN EDUCATIVA TECNICA CARLOS ALBERTO OLANO VALDERRAMA  BELEN|Belén|Boyacá
BOYACÁ  INSTITUCION EDUCATIVA JULIUS SIEBER  TUNJA|Tunja|Boyacá
ANTIOQUIA  EMPRESA DE DESARROLLO URBANO Y HÁBITAT SOSTENIBLE EDUH  TURBO|Turbo|Antioquia
ANTIOQUIA  REGIÓN DE PLANEACIÓN Y GESTIÓN DEL BAJO CAUCA  CAUCASIA|Caucasia|Antioquia
HUILA  INSTITUCIÓN EDUCATIVA BORDONES  ISNOS|Isnos|Huila
BOYACÁ  INSTITUCIÓN EDUCATIVA HORIZONTES|San José de Pare|Boyacá
BOLÍVAR  ESE HOSPITAL LOCAL DE SAN FERNANDO|San Fernando|Bolívar
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL DEL VALLE|Palmira|Valle del Cauca
ANTIOQUIA  INSTITUCION EDUCATIVA MONSEÑOR FRANCISCO CRISTOBAL TORO|Medellín|Antioquia
